Match,Winning Team,Player,Overs,Runs,Wickets,Econ,Wide,NB,Match ID
Afghanistan vs Australia,Australia,Adam Zampa,10.0,58,1,5.8,2,0,ODI # 4696
Afghanistan vs Australia,Australia,Travis Head,3.0,15,0,5.0,0,0,ODI # 4696
Afghanistan vs Australia,Australia,Marcus Stoinis,1.0,2,0,2.0,0,0,ODI # 4696
Afghanistan vs Australia,Australia,Mujeeb Ur Rahman,8.5,72,0,8.15,0,0,ODI # 4696
Afghanistan vs Australia,Australia,Naveen-ul-Haq,9.0,47,2,5.22,1,0,ODI # 4696
Afghanistan vs Australia,Australia,Azmatullah Omarzai,7.0,52,2,7.42,1,0,ODI # 4696
Afghanistan vs Australia,Australia,Rashid Khan,10.0,44,2,4.4,3,0,ODI # 4696
Afghanistan vs Australia,Australia,Noor Ahmad,10.0,53,0,5.3,1,0,ODI # 4696
Afghanistan vs Australia,Australia,Mohammad Nabi,2.0,20,0,10.0,0,0,ODI # 4696
Bangladesh vs Sri Lanka,Bangladesh,Shoriful Islam,9.3,51,2,5.36,1,0,ODI # 4695
Bangladesh vs Sri Lanka,Bangladesh,Taskin Ahmed,10.0,39,0,3.9,1,0,ODI # 4695
Bangladesh vs Sri Lanka,Bangladesh,Tanzim Hasan Sakib,10.0,80,3,8.0,2,0,ODI # 4695
Bangladesh vs Sri Lanka,Bangladesh,Shakib Al Hasan,10.0,57,2,5.7,0,0,ODI # 4695
Bangladesh vs Sri Lanka,Bangladesh,Mehidy Hasan Miraz,10.0,49,1,4.9,0,0,ODI # 4695
Bangladesh vs Sri Lanka,Bangladesh,Dilshan Madushanka,10.0,69,3,6.9,4,0,ODI # 4695
Bangladesh vs Sri Lanka,Bangladesh,Maheesh Theekshana,9.0,44,2,4.88,3,0,ODI # 4695
Bangladesh vs Sri Lanka,Bangladesh,Kasun Rajitha,4.0,47,0,11.75,0,0,ODI # 4695
Bangladesh vs Sri Lanka,Bangladesh,Dushmantha Chameera,8.0,54,0,6.75,2,0,ODI # 4695
Bangladesh vs Sri Lanka,Bangladesh,Angelo Mathews,7.1,35,2,4.88,1,0,ODI # 4695
Bangladesh vs Sri Lanka,Bangladesh,Dhananjaya de Silva,3.0,20,0,6.66,0,0,ODI # 4695
India vs South Africa,India,Lungi Ngidi,8.2,63,1,7.56,2,0,ODI # 4694
India vs South Africa,India,Marco Jansen,9.4,94,1,9.72,7,1,ODI # 4694
India vs South Africa,India,Kagiso Rabada,10.0,48,1,4.8,0,0,ODI # 4694
India vs South Africa,India,Keshav Maharaj,10.0,30,1,3.0,1,0,ODI # 4694
India vs South Africa,India,Tabraiz Shamsi,10.0,72,1,7.2,7,1,ODI # 4694
India vs South Africa,India,Aiden Markram,2.0,17,0,8.5,1,0,ODI # 4694
India vs South Africa,India,Jasprit Bumrah,5.0,14,0,2.8,1,0,ODI # 4694
India vs South Africa,India,Mohammed Siraj,4.0,11,1,2.75,0,0,ODI # 4694
India vs South Africa,India,Ravindra Jadeja,9.0,33,5,3.66,0,0,ODI # 4694
India vs South Africa,India,Mohammed Shami,4.0,18,2,4.5,1,0,ODI # 4694
India vs South Africa,India,Kuldeep Yadav,5.1,7,2,1.35,0,0,ODI # 4694
Australia vs England,Australia,David Willey,10.0,48,1,4.8,1,0,ODI # 4693
Australia vs England,Australia,Chris Woakes,9.3,54,4,5.68,0,0,ODI # 4693
Australia vs England,Australia,Mark Wood,10.0,70,2,7.0,3,0,ODI # 4693
